ID,Phrase_Text
C01,يا عيني عليك! وحش.
C02,جبتها بالزاوية التسعين.. معلم.
C03,دخيلو الفهمان..
C04,اي هيك الحل ولا بلاش.
C05,الله عليك.. لقطتها وهي طايرة.
C06,ملك/ملكة الساحة بلا منازع.
C07,ولا غلطة.. استمر هيك.
C08,سهلة عليك مو؟
C09,ما عم نلحق على ابداعاتك اليوم.
C10,يا سلام.. دقة 100%.
C11,عبقري زمانك.
C12,لعبتك الصغيرة هي.. ما حدا قدك.
C13,مين قدك اليوم؟
C14,جواب بمحلو.. برافو.
C15,شكلك دارس من وراي..
C16,نار يا حبيبي نار.
C17,رفعت راس البوت عالالي.
C18,معلم.. وبامتياز.
C19,الإجابة صحيحة.. والجيبة مليانة علامات.
C20,صار لازمك تمثال عالجواب هاد.
C21,عيني ربك.. كمل دعس.
C22,ما في حكي.. شغل نظيف ومرتب.
C23,والله إنك خطير..
C24,أصبت كبد الحقيقة.. وحش.
C25,يا هيك التركيز يا أما بلا.
C26,ماشي ملك.. واثق الخطوة.
C27,كفو! جبتها صح.
C28,هذا هو الكلام المضبوط.
C29,ما شاء الله.. رادار شغال.
C30,ختمت العلم بهالجواب.. كمل لا توقف.