question,option_a,option_b,option_c,option_d,correct_answer,correct_explanation,concept_explanation,explanation_a,explanation_b,explanation_c,explanation_d
"ما هو الطول الكلي لعنوان بروتوكول الإنترنت (IP Address) من الإصدار الرابع بالبت (Bit)؟","8 bit","16 bit","32 bit","64 bit","C","يتكون عنوان IP من 4 خانات، كل خانة 8 بت، والمجموع 4×8=32.","يتكون عنوان IP من 4 خانات، كل خانة 8 بت، والمجموع 4×8=32.","خطأ، هذا حجم خانة واحدة فقط (Octet) وليس العنوان كاملاً.","خطأ، هذا حجم خانتين فقط.","","خطأ، هذا الحجم مستخدم في معالجات 64-بت الحديثة أو عناوين IPv6، وليس IPv4."
"أي فئة من فئات العناوين (Classes) تمتد فيها قيمة الخانة الأولى من 128 إلى 191؟","Class A","Class B","Class C","Class D","B","الفئة B تبدأ خانتها الأولى من 128 وتنتهي عند 191.","الفئة B تبدأ خانتها الأولى من 128 وتنتهي عند 191.","خطأ، الفئة A تمتد من 1 إلى 126.","","خطأ، الفئة C تمتد من 192 إلى 223.","خطأ، الفئة D تمتد من 224 إلى 239."
"لماذا لا يتم استخدام العنوان الذي يبدأ بالرقم 127 في عنونة الشبكات الاعتيادية؟","لأنه مخصص للبث العام (Broadcast).","لأنه محجوز للأبحاث والتجارب (Experimental).","لأنه محجوز كعنوان استرجاع (Loopback Address).","لأنه يسبب تعارضاً مع عناوين Class C.","C","الرقم 127 محجوز لاختبار Loopback للتأكد من سلامة كرت الشبكة ولا يستخدم للأجهزة.","الرقم 127 محجوز لاختبار Loopback للتأكد من سلامة كرت الشبكة ولا يستخدم للأجهزة.","خطأ، البث العام يستخدم العنوان 255.255.255.255 أو آخر عنوان في الشبكة.","خطأ، الفئة E هي المخصصة للأبحاث والتجارب.","","خطأ، لا علاقة له بتعارض العناوين، بل هو معيار محجوز وظيفياً."
"في شبكات الفئة C (Class C)، ما هو قناع الشبكة الافتراضي (Default Subnet Mask)؟","255.0.0.0","255.255.0.0","255.255.255.0","255.255.255.255","C","الفئة C تستخدم قناع الشبكة 255.255.255.0، حيث تكون أول 3 خانات للشبكة.","الفئة C تستخدم قناع الشبكة 255.255.255.0، حيث تكون أول 3 خانات للشبكة.","خطأ، هذا القناع يخص الفئة A (/8).","خطأ، هذا القناع يخص الفئة B (/16).","","خطأ، هذا القناع يمثل عنوان جهاز واحد (Host Route /32) وليس شبكة."
"ما هي المعادلة المستخدمة لحساب عدد الأجهزة المضيفة (Hosts) الصالحة للاستخدام في شبكة فرعية معينة؟","\(2^n\)","\(2^n - 1\)","\(2^n - 2\)","\(2^n + 2\)","C","يتم استخدام المعادلة \(2^n - 2\) لاستبعاد عنوان الشبكة وعنوان البث.","يتم استخدام المعادلة \(2^n - 2\) لاستبعاد عنوان الشبكة وعنوان البث.","خطأ، هذه المعادلة تعطي العدد الكلي للاحتمالات بما فيها العناوين المحجوزة.","خطأ، طرح 1 غير كافٍ لأنه يجب استبعاد عنوانين (الشبكة والبث).","","خطأ، الجمع غير منطقي هنا، نحن نطرح عناوين محجوزة."
"إذا كان عنوان الشبكة هو 192.168.1.0/24، أي العناوين التالية يمثل عنوان البث (Broadcast Address)؟","192.168.1.1","192.168.1.254","192.168.1.255","192.168.1.0","C","عنوان البث هو آخر عنوان في النطاق ولا يمنح لأي جهاز، وفي هذا المثال هو 192.168.1.255.","عنوان البث هو آخر عنوان في النطاق ولا يمنح لأي جهاز، وفي هذا المثال هو 192.168.1.255.","خطأ، هذا أول عنوان متاح لجهاز (First Host).","خطأ، هذا آخر عنوان متاح لجهاز (Last Host).","","خطأ، هذا عنوان الشبكة نفسها (Network Address)."
"ما هو الغرض الأساسي من استخدام فئة العناوين Class D؟","العنونة الفريدة (Unicast).","البث المتعدد (Multicast).","الأبحاث المستقبلية (Research).","الشبكات المنزلية الصغيرة.","B","الفئة D (التي تبدأ من 224) مخصصة لاستخدامات خاصة وهي البث المتعدد (Multicast).","الفئة D (التي تبدأ من 224) مخصصة لاستخدامات خاصة وهي البث المتعدد (Multicast).","خطأ، العنونة الفريدة تستخدم الفئات A, B, C.","","خطأ، الأبحاث مخصصة للفئة E.","خطأ، الشبكات المنزلية تستخدم عادة الفئة C."
"عند تطبيق قناع الشبكة (Subnet Mask) على عنوان IP، ما هي العملية المنطقية (Logical Operation) التي تتم لتحديد عنوان الشبكة؟","OR","AND","XOR","NOT","B","يتم ضرب الـ IP مع الـ Subnet Mask منطقياً (AND) لاستخراج عنوان الشبكة.","يتم ضرب الـ IP مع الـ Subnet Mask منطقياً (AND) لاستخراج عنوان الشبكة.","خطأ، OR تعطي 1 إذا كان أحد المدخلين 1، ولا تستخدم للعزل.","","خطأ، XOR تعطي 1 عند الاختلاف، ولا تصلح لتطبيق القناع.","خطأ، NOT تعكس البتات وتستخدم لحساب الـ Wildcard Mask."
"أي من الخيارات التالية يمثل التدوين المختصر (Prefix Length) لقناع الشبكة الخاص بالفئة A؟","/8","/16","/24","/32","A","الفئة A تستخدم 8 بت للشبكة، لذا يرمز لها بـ /8.","الفئة A تستخدم 8 بت للشبكة، لذا يرمز لها بـ /8.","","خطأ، /16 يخص الفئة B.","خطأ، /24 يخص الفئة C.","خطأ، /32 يحدد عنواناً واحداً فقط."
"في المثال العملي للتقسيم الفرعي 192.168.1.0/27، كم عدد البتات التي تم استعارتها من جزء الـ Host لتضاف إلى الشبكة (علماً أن الأصل Class C)؟","1 bit","2 bits","3 bits","5 bits","C","الفئة C هي /24، والقناع الجديد /27، لذا تم استعارة 27 - 24 = 3 بتات.","الفئة C هي /24، والقناع الجديد /27، لذا تم استعارة 3 بتات.","خطأ، استعارة 1 بت تعني القناع /25.","خطأ، استعارة 2 بت تعني القناع /26.","","خطأ، 5 بتات هي المتبقية للـ Host وليست المستعارة."
"ما هي القيمة العشرية للخانة الأخيرة في قناع الشبكة إذا كان القناع هو /27؟","128","192","224","240","C","البتات الثلاثة المستعارة (11100000) تساوي 128+64+32 = 224.","البتات الثلاثة المستعارة (11100000) تساوي 128+64+32 = 224.","خطأ، 128 تعادل استعارة بت واحد (/25).","خطأ، 192 تعادل استعارة بتين (/26).","","خطأ، 240 تعادل استعارة 4 بتات (/28)."
"أي من العناوين التالية يعتبر عنواناً صالحاً لجهاز (Valid Host IP) في شبكة من الفئة C؟","192.168.1.0","192.168.1.255","192.168.1.50","127.0.0.1","C","العنوان 192.168.1.50 يقع ضمن مجال المضيفين الصالح، بينما البقية محجوزة.","العنوان 192.168.1.50 يقع ضمن مجال المضيفين الصالح، بينما البقية محجوزة (شبكة، بث، Loopback).","خطأ، هذا عنوان الشبكة (Network ID).","خطأ، هذا عنوان البث (Broadcast).","","خطأ، هذا عنوان Loopback."
"ما هو التوزيع الصحيح للبتات في الفئة B (Network vs Host)؟","N.H.H.H","N.N.H.H","N.N.N.H","N.N.N.N","B","الفئة B تستخدم خانتين للشبكة (Network) وخانتين للأجهزة (Host).","الفئة B تستخدم خانتين للشبكة (Network) وخانتين للأجهزة (Host).","خطأ، هذا توزيع الفئة A (Network.Host.Host.Host).","","خطأ، هذا توزيع الفئة C (Network.Network.Network.Host).","خطأ، هذا يعني أن العنوان كله للشبكة ولا يوجد أجهزة."
"ما هو عدد الأجهزة المضيفة المتاحة (Usable Hosts) في شبكة ذات قناع /27؟","30","32","62","64","A","عدد البتات المتبقية هو 5، وعدد الأجهزة يساوي \(2^5 - 2 = 30\).","عدد البتات المتبقية هو 5، وعدد الأجهزة يساوي \(2^5 - 2 = 30\).","","خطأ، 32 هو العدد الكلي للعناوين قبل طرح المحجوز.","خطأ، 62 هو عدد الأجهزة لشبكة /26.","خطأ، 64 هو العدد الكلي لشبكة /26."
"تستخدم الفئة E (Class E) بشكل أساسي لـ:","الشركات الكبيرة جداً.","البث العام (Broadcast).","الأغراض التجريبية والبحثية (Experimental).","شبكات المناطق الواسعة (WAN).","C","الفئة E (240-255) محجوزة للأغراض البحثية والتجريبية.","الفئة E (240-255) محجوزة للأغراض البحثية والتجريبية.","خطأ، الشركات الكبيرة تستخدم عادة الفئة A.","خطأ، البث العام له عنوان محدد (255.255.255.255).","","خطأ، شبكات WAN تستخدم عناوين من مختلف الفئات حسب التصميم."